Title,Platforms,Date,Developers
Boggle,Xbox One,"August 4, 2015",Frima Studio
Scrabble,PlayStation 4,"June 30, 2015",Ubisoft Chengdu
Scrabble,Xbox One,"June 30, 2015",Ubisoft Chengdu
Rabbids Appisodes,iOS,"June 18, 2015","Ubisoft Paris Mobile, Ubisoft Pune"
Tetris Ultimate,PlayStation Vita,"June 2, 2015",SoMa Play
Risk,PlayStation 3,"April 28, 2015",Zoë Mode
Risk,Xbox 360,"April 28, 2015",Zoë Mode
Assassin's Creed Chronicles: China,Microsoft Windows,"April 21, 2015","Climax Studios, Massive Entertainment, Ubisoft Kyiv"
Assassin's Creed Chronicles: China,PlayStation 4,"April 21, 2015",Climax Studios
Assassin's Creed Chronicles: China,Xbox One,"April 21, 2015",Climax Studios
Driver: Speedboat Paradise,Android,"April 7, 2015","Ubisoft Paris Mobile, Ubisoft Craiova Mobile"
Driver: Speedboat Paradise,iOS,"April 7, 2015","Ubisoft Paris Mobile, Ubisoft Craiova Mobile"
Horse Haven: World Adventures,iOS,"March 26, 2015",Ubisoft Shanghai
Assassin's Creed Rogue,Microsoft Windows,"March 10, 2015",Ubisoft Kyiv
Monkey King Escape,Android,"February 17, 2015",Ubisoft Chengdu
Monkey King Escape,iOS,"February 17, 2015",Ubisoft Chengdu
Trivial Pursuit Live!,PlayStation 3,"February 17, 2015",Longtail Studios
Trivial Pursuit Live!,PlayStation 4,"February 17, 2015",Longtail Studios
Trivial Pursuit Live!,Xbox 360,"February 17, 2015",Longtail Studios
Trivial Pursuit Live!,Xbox One,"February 17, 2015",Longtail Studios
The Mighty Quest for Epic Loot,Microsoft Windows,"February 5, 2015",Ubisoft Montreal
Grow Home,Microsoft Windows,"February 4, 2015",Ubisoft Reflections
Risk,PlayStation 4,"February 3, 2015",Zoë Mode
Risk,Xbox One,"February 3, 2015",Zoë Mode
Horse Haven: World Adventures,Android,"January 21, 2015",Ubisoft Shanghai
Monopoly Deal,PlayStation 3,"January 13, 2015",Asobo Studio
Monopoly Deal,Xbox 360,"January 13, 2015",Asobo Studio
Monopoly Plus,PlayStation 3,"January 13, 2015",Asobo Studio
Monopoly Plus,Xbox 360,"January 13, 2015",Asobo Studio
Tetris Ultimate,PlayStation 4,"December 16, 2014",SoMa Play
Tetris Ultimate,Xbox One,"December 16, 2014",SoMa Play
Monopoly Deal,PlayStation 4,"December 2, 2014",Asobo Studio
Monopoly Deal,Xbox One,"December 2, 2014",Asobo Studio
Monopoly Plus,PlayStation 4,"December 2, 2014",Asobo Studio
Monopoly Plus,Xbox One,"December 2, 2014",Asobo Studio
The Crew,Microsoft Windows,"December 2, 2014","Ivory Tower, Ubisoft Reflections"
The Crew,PlayStation 4,"December 2, 2014","Ivory Tower, Ubisoft Reflections"
The Crew,Xbox 360,"December 2, 2014","Asobo Studio, Ubisoft Shanghai"
The Crew,Xbox One,"December 2, 2014","Ivory Tower, Ubisoft Reflections"
Valiant Hearts: The Great War,Android,"November 27, 2014",Ubisoft Casablanca
Anno: Build an Empire,Android,"November 20, 2014","Mi'pu'mi Games, Blue Byte"
Anno: Build an Empire,iOS,"November 20, 2014","Mi'pu'mi Games, Blue Byte"
Far Cry 4,Microsoft Windows,"November 18, 2014","Ubisoft Montreal, Red Storm Entertainment, Ubisoft Kyiv, Ubisoft Shanghai, Ubisoft Toronto"
Far Cry 4,PlayStation 3,"November 18, 2014","Ubisoft Montreal, Red Storm Entertainment, Ubisoft Kyiv, Ubisoft Shanghai, Ubisoft Toronto"
Far Cry 4,PlayStation 4,"November 18, 2014","Ubisoft Montreal, Red Storm Entertainment, Ubisoft Kyiv, Ubisoft Shanghai, Ubisoft Toronto"
Far Cry 4,Xbox 360,"November 18, 2014","Ubisoft Montreal, Red Storm Entertainment, Ubisoft Kyiv, Ubisoft Shanghai, Ubisoft Toronto"
Far Cry 4,Xbox One,"November 18, 2014","Ubisoft Montreal, Red Storm Entertainment, Ubisoft Kyiv, Ubisoft Shanghai, Ubisoft Toronto"
Far Cry 4: Arcade Poker,Android,"November 18, 2014",Ubisoft Montreal
Far Cry 4: Arcade Poker,iOS,"November 18, 2014",Ubisoft Montreal
Far Cry 4: Arena Master,Android,"November 18, 2014",Ludomade
Far Cry 4: Arena Master,iOS,"November 18, 2014",Ludomade
Rabbids Invasion: The Interactive TV Show,PlayStation 4,"November 18, 2014",Ubisoft Barcelona
Rabbids Invasion: The Interactive TV Show,Xbox 360,"November 18, 2014",Ubisoft Barcelona
Rabbids Invasion: The Interactive TV Show,Xbox One,"November 18, 2014",Ubisoft Barcelona
Watch Dogs,Wii U,"November 18, 2014","Ubisoft Montreal, Ubisoft Paris, Ubisoft Reflections"
Assassin's Creed Rogue,PlayStation 3,"November 11, 2014","Ubisoft Sofia, Ubisoft Bucharest, Ubisoft Chengdu, Ubisoft Montreal, Ubisoft Quebec, Ubisoft Singapore"
Assassin's Creed Rogue,Xbox 360,"November 11, 2014","Ubisoft Sofia, Ubisoft Bucharest, Ubisoft Chengdu, Ubisoft Montreal, Ubisoft Quebec, Ubisoft Singapore"
Assassin's Creed Unity,Microsoft Windows,"November 11, 2014","Ubisoft Montreal, Ubisoft Annecy, Ubisoft Kyiv, Ubisoft Quebec, Ubisoft Shanghai, Ubisoft Singapore, Ubisoft Toronto"
Assassin's Creed Unity,PlayStation 4,"November 11, 2014","Ubisoft Montreal, Ubisoft Annecy, Ubisoft Kyiv, Ubisoft Quebec, Ubisoft Shanghai, Ubisoft Singapore, Ubisoft Toronto"
Assassin's Creed Unity,Xbox One,"November 11, 2014","Ubisoft Montreal, Ubisoft Annecy, Ubisoft Kyiv, Ubisoft Quebec, Ubisoft Shanghai, Ubisoft Singapore, Ubisoft Toronto"
Shape Up,Xbox One,"November 11, 2014",Ubisoft Montreal
Tetris Ultimate,Nintendo 3DS,"November 11, 2014",SoMa Play
Shape Up: Battle Run,Android,"November 9, 2014",RocketChicken
Shape Up: Battle Run,iOS,"November 9, 2014",RocketChicken
Shape Up: Battle Run,Windows Phone,"November 9, 2014",RocketChicken
Valiant Hearts: The Great War,iOS,"November 3, 2014",Ubisoft Casablanca
Just Dance 2015,PlayStation 3,"October 21, 2014","Ubisoft Paris, Ubisoft Milan, Ubisoft Bucharest, Ubisoft Pune, Ubisoft Reflections"
Just Dance 2015,PlayStation 4,"October 21, 2014","Ubisoft Paris, Ubisoft Milan, Ubisoft Bucharest, Ubisoft Pune, Ubisoft Reflections"
Just Dance 2015,Wii,"October 21, 2014","Ubisoft Paris, Ubisoft Milan, Ubisoft Bucharest, Ubisoft Pune, Ubisoft Reflections"
Just Dance 2015,Wii U,"October 21, 2014","Ubisoft Paris, Ubisoft Milan, Ubisoft Bucharest, Ubisoft Pune, Ubisoft Reflections"
Just Dance 2015,Xbox 360,"October 21, 2014","Ubisoft Paris, Ubisoft Milan, Ubisoft Bucharest, Ubisoft Pune, Ubisoft Reflections"
Just Dance 2015,Xbox One,"October 21, 2014","Ubisoft Paris, Ubisoft Milan, Ubisoft Bucharest, Ubisoft Pune, Ubisoft Reflections"
Petz Beach,Nintendo 3DS,"October 14, 2014",Ubisoft Osaka
Petz Countryside,Nintendo 3DS,"October 14, 2014",Ubisoft Osaka
Just Dance Now,Android,"September 28, 2014","Massive Entertainment, Ubisoft Milan"
Just Dance Now,iOS,"September 28, 2014","Massive Entertainment, Ubisoft Milan"
Little Raiders: Robin's Revenge,Android,"August 28, 2014","Future Games of London, Ubisoft Pune"
Little Raiders: Robin's Revenge,iOS,"August 28, 2014","Future Games of London, Ubisoft Pune"
Assassin's Creed: Memories,iOS,"August 21, 2014",GREE
Child of Light,PlayStation Vita,"July 1, 2014",Ubisoft Montreal
Valiant Hearts: The Great War,Microsoft Windows,"June 26, 2014",Ubisoft Chengdu
Valiant Hearts: The Great War,PlayStation 3,"June 26, 2014",Ubisoft Montpellier
Valiant Hearts: The Great War,PlayStation 4,"June 26, 2014",Ubisoft Montpellier
Valiant Hearts: The Great War,Xbox Live Arcade,"June 26, 2014",Ubisoft Montpellier
Valiant Hearts: The Great War,Xbox One,"June 26, 2014",Ubisoft Montpellier
Watch Dogs,Microsoft Windows,"May 27, 2014","Ubisoft Montreal, Ubisoft Paris, Ubisoft Reflections"
Watch Dogs,PlayStation 3,"May 27, 2014","Ubisoft Montreal, Ubisoft Paris, Ubisoft Reflections"
Watch Dogs,PlayStation 4,"May 27, 2014","Ubisoft Montreal, Ubisoft Paris, Ubisoft Reflections"
Watch Dogs,Xbox 360,"May 27, 2014","Ubisoft Montreal, Ubisoft Paris, Ubisoft Reflections"
Watch Dogs,Xbox One,"May 27, 2014","Ubisoft Montreal, Ubisoft Paris, Ubisoft Reflections"
CSI: Hidden Crimes,Android,"May 1, 2014",Ubisoft Abu Dhabi
CSI: Hidden Crimes,iOS,"May 1, 2014",Ubisoft Abu Dhabi
Child of Light,Microsoft Windows,"April 30, 2014",Ubisoft Montreal
Child of Light,PlayStation 3,"April 30, 2014",Ubisoft Montreal
Child of Light,PlayStation 4,"April 30, 2014",Ubisoft Montreal
Child of Light,Wii U,"April 30, 2014",Ubisoft Montreal
Child of Light,Xbox 360,"April 30, 2014",Ubisoft Montreal
Child of Light,Xbox One,"April 30, 2014",Ubisoft Montreal
Might & Magic X: Legacy,Mac OS,"April 16, 2014","Limbic Entertainment, Massive Entertainment, Ubisoft Bucharest, Ubisoft Kyiv"
Trials Fusion,Microsoft Windows,"April 15, 2014","RedLynx, Ubisoft Kyiv, Ubisoft Shanghai"
Trials Fusion,PlayStation 4,"April 15, 2014","RedLynx, Ubisoft Kyiv, Ubisoft Shanghai"
Trials Fusion,Xbox 360,"April 15, 2014","RedLynx, Ubisoft Kyiv, Ubisoft Shanghai"
Trials Fusion,Xbox One,"April 15, 2014","RedLynx, Ubisoft Kyiv, Ubisoft Shanghai"
Trials Frontier,Android,"April 13, 2014","RedLynx, Ubisoft Pune, Ubisoft Shanghai"
Trials Frontier,iOS,"April 13, 2014","RedLynx, Ubisoft Pune, Ubisoft Shanghai"
Tom Clancy's Ghost Recon Phantoms,Microsoft Windows,"April 10, 2014",Ubisoft Singapore
South Park: The Stick of Truth,Microsoft Windows,"March 4, 2014","Obsidian Entertainment, South Park Digital Studios, Heavy Iron Studios, Magic Pixel Studios"
South Park: The Stick of Truth,PlayStation 3,"March 4, 2014","Obsidian Entertainment, South Park Digital Studios, Heavy Iron Studios, Magic Pixel Studios"
South Park: The Stick of Truth,Xbox 360,"March 4, 2014","Obsidian Entertainment, South Park Digital Studios, Heavy Iron Studios, Magic Pixel Studios"
Rayman Legends,PlayStation 4,"February 18, 2014",Ubisoft Montpellier
Rayman Legends,Xbox One,"February 18, 2014",Ubisoft Montpellier
Far Cry Classic,PlayStation 3,"February 11, 2014",Crytek
Far Cry Classic,Xbox 360,"February 11, 2014",Crytek
MotoHeroz,Android,"February 5, 2014","RedLynx, Ubisoft Pune"
Might & Magic X: Legacy,Microsoft Windows,"January 23, 2014","Limbic Entertainment, Massive Entertainment, Ubisoft Bucharest, Ubisoft Kyiv"
Rayman Fiesta Run,Windows Phone,"January 16, 2014","Ubisoft Casablanca, Ubisoft Montpellier"
Assassin's Creed: Liberation HD,Microsoft Windows,"January 15, 2014",Ubisoft Sofia
Assassin's Creed: Liberation HD,PlayStation 3,"January 15, 2014",Ubisoft Sofia
Assassin's Creed: Liberation HD,Xbox 360,"January 15, 2014",Ubisoft Sofia
Rabbids Big Bang,Windows Phone,"December 17, 2013","Ubisoft Paris, RedLynx, Traplight, Ubisoft Pune"
Assassin's Creed Pirates,Android,"December 5, 2013","Ubisoft Paris Mobile, Ubisoft Craiova Mobile"
Assassin's Creed Pirates,iOS,"December 5, 2013","Ubisoft Paris Mobile, Ubisoft Craiova Mobile"
Assassin's Creed IV: Black Flag,Xbox One,"November 22, 2013","Ubisoft Montreal, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Chengdu, Ubisoft Milan, Ubisoft Montpellier, Ubisoft Quebec, Ubisoft Shanghai, Ubisoft Singapore, Ubisoft Sofia"
Assassin's Creed IV: Black Flag,Microsoft Windows,"November 19, 2013",Ubisoft Kyiv
Fighter Within,Xbox One,"November 19, 2013",Daoka
Assassin's Creed IV: Black Flag,PlayStation 4,"November 15, 2013","Ubisoft Montreal, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Chengdu, Ubisoft Milan, Ubisoft Montpellier, Ubisoft Quebec, Ubisoft Shanghai, Ubisoft Singapore, Ubisoft Sofia"
Just Dance 2014,PlayStation 4,"November 12, 2013","Ubisoft Paris, Ubisoft Bucharest, Ubisoft Milan, Ubisoft Montpellier, Ubisoft Pune, Ubisoft Reflections"
Just Dance 2014,Xbox One,"November 12, 2013","Ubisoft Paris, Ubisoft Bucharest, Ubisoft Milan, Ubisoft Montpellier, Ubisoft Pune, Ubisoft Reflections"
Rayman Fiesta Run,Android,"November 7, 2013","Ubisoft Casablanca, Ubisoft Montpellier"
Rayman Fiesta Run,iOS,"November 7, 2013","Ubisoft Casablanca, Ubisoft Montpellier"
Rocksmith: All-new 2014 Edition,PlayStation 4,"November 4, 2013","Ubisoft San Francisco, Red Storm Entertainment, Longtail Studios"
Rocksmith: All-new 2014 Edition,Xbox One,"November 4, 2013","Ubisoft San Francisco, Red Storm Entertainment, Longtail Studios"
Assassin's Creed IV: Black Flag,PlayStation 3,"October 29, 2013","Ubisoft Montreal, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Chengdu, Ubisoft Milan, Ubisoft Montpellier, Ubisoft Quebec, Ubisoft Shanghai, Ubisoft Singapore, Ubisoft Sofia"
Assassin's Creed IV: Black Flag,Xbox 360,"October 29, 2013","Ubisoft Montreal, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Chengdu, Ubisoft Milan, Ubisoft Montpellier, Ubisoft Quebec, Ubisoft Shanghai, Ubisoft Singapore, Ubisoft Sofia"
Just Dance Kids 2014,Wii,"October 22, 2013","Ubisoft Osaka, Heavenspot"
Just Dance Kids 2014,Wii U,"October 22, 2013","Ubisoft Osaka, Heavenspot"
Just Dance Kids 2014,Xbox 360,"October 22, 2013","Ubisoft Osaka, Heavenspot"
Rocksmith: All-new 2014 Edition,Mac OS,"October 22, 2013","Ubisoft San Francisco, Red Storm Entertainment, Longtail Studios"
Rocksmith: All-new 2014 Edition,Microsoft Windows,"October 22, 2013","Ubisoft San Francisco, Red Storm Entertainment, Longtail Studios"
Rocksmith: All-new 2014 Edition,PlayStation 3,"October 22, 2013","Ubisoft San Francisco, Red Storm Entertainment, Longtail Studios"
Might & Magic: Chess Royale,Android,"January 29, 2020","Ubisoft Paris Mobile, Ubisoft Bordeaux"
,iOS,,
,Microsoft Windows,,
Tom Clancy's The Division 2,Stadia,"March 17, 2020","Massive Entertainment, RedLynx"
The Crew 2,Stadia,"March 25, 2020","Ivory Tower, Asobo Studio, Ubisoft Montpellier, Ubisoft Shanghai"
TrackMania,Microsoft Windows,"July 1, 2020",Nadeo
Brawlhalla,Android,"August 6, 2020",Blue Mammoth Games
,iOS,,
Hyper Scape,Microsoft Windows,"August 11, 2020",Ubisoft Montreal
,PlayStation 4,,
,Xbox One,,
Tom Clancy's Elite Squad,Android,"August 25, 2020",Owlient
,iOS,,
Rabbids: Coding!,Android,"October 8, 2020",
,iOS,,
Rabbids Wild Race,Browser,"October 12, 2020",Ubisoft Da Nang
AGOS: A Game of Space,HTC Vive,"October 28, 2020",TBA
,Oculus Rift,,
,Valve Index,,
Watch Dogs: Legion,Microsoft Windows,"October 29, 2020",Ubisoft Toronto
,PlayStation 4,,
,Stadia,,
,Xbox One,,
Assassin's Creed Valhalla,Amazon Luna,"November 10, 2020",Ubisoft Montreal
,Microsoft Windows,,
,PlayStation 4,,
,Stadia,,
,Xbox One,,
,Xbox Series S,,
,Xbox Series X,,
Watch Dogs: Legion,Xbox Series S,"November 10, 2020",Ubisoft Toronto
,Xbox Series X,,
Assassin's Creed Valhalla,PlayStation 5,"November 12, 2020",Ubisoft Montreal
Just Dance 2021,Nintendo Switch,"November 12, 2020",Ubisoft Paris
,PlayStation 4,,
,PlayStation 5,,
,Stadia,,
,Xbox One,,
,Xbox Series S,,
,Xbox Series X,,
Watch Dogs: Legion,PlayStation 5,"November 12, 2020",Ubisoft Toronto
Watch Dogs: Legion,Amazon Luna,"November 24, 2020",Ubisoft Toronto
Tom Clancy's Rainbow Six Siege,PlayStation 5,"December 1, 2020",Ubisoft Montreal
,Xbox Series S,,
,Xbox Series X,,
Idle Restaurant Tycoon,Android,"December 3, 2020",Kolibri Games
,iOS,,
Immortals Fenyx Rising,Amazon Luna,"December 3, 2020",Ubisoft Quebec
,Microsoft Windows,,
,Nintendo Switch,,
,PlayStation 4,,
,PlayStation 5,,
,Stadia,,
,Xbox One,,
,Xbox Series S,,
,Xbox Series X,,
Assassin's Creed II: Discovery,iOS,"January 7, 2010",Griptonite
Sleepover Party,Wii,"January 12, 2010",Zöe Mode
No More Heroes 2: Desperate Struggle,Wii,"January 26, 2010",Grasshopper Manufacture
Battle of Giants: Mutant Insects,Nintendo DS,"March 2, 2010",Ubisoft Quebec
Assassin's Creed II,Microsoft Windows,"March 4, 2010","Ubisoft Montreal, Ubisoft Annecy, Ubisoft Singapore"
Silent Hunter 5: Battle of the Atlantic,Microsoft Windows,"March 4, 2010","Ubisoft Bucharest, Massive Entertainment"
Boot Camp Academy,Wii,"March 11, 2010",Naps Team
Battle of Giants: Dinosaurs - Fight for Survival,Nintendo DSi,"March 15, 2010",Ubisoft Quebec
Imagine: Gymnast,Nintendo DS,"March 23, 2010",1st Playable Productions
Red Steel 2,Wii,"March 23, 2010",Ubisoft Paris
Racquet Sports,Wii,"March 25, 2010",Asobo Studio
The Settlers 7: Paths to a Kingdom,Microsoft Windows,"March 25, 2010","Blue Byte, Massive Entertainment"
Tom Clancy's Splinter Cell: Conviction,Xbox 360,"April 13, 2010",Ubisoft Montreal
Castle & Co,Facebook,"April 28, 2010",Ubisoft Chengdu
OK! Puzzle Stars,Nintendo DS,"April 30, 2010",Team 3 Games
Tom Clancy's Splinter Cell: Conviction,Microsoft Windows,"April 30, 2010","Ubisoft Montreal, Massive Entertainment"
Prince of Persia: The Forgotten Sands,PlayStation 3,"May 18, 2010","Ubisoft Montreal, Ubisoft Singapore"
Prince of Persia: The Forgotten Sands,Xbox 360,"May 18, 2010","Ubisoft Montreal, Ubisoft Singapore"
Prince of Persia: The Forgotten Sands,Wii,"May 18, 2010",Ubisoft Quebec
Voodoo Dice,PlayStation Portable,"May 26, 2010",ExKee
Voodoo Dice,Xbox 360,"May 26, 2010",ExKee
Prince of Persia,iOS,"May 28, 2010",Ubisoft Quebec
Voodoo Dice,PlayStation 3,"June 8, 2010",ExKee
Prince of Persia: The Forgotten Sands,Microsoft Windows,"June 10, 2010","Ubisoft Montreal, Massive Entertainment, Ubisoft Singapore"
Dance on Broadway,Wii,"June 15, 2010",Longtail Studios
Battle of Giants: Mutant Insects - Revenge,Nintendo DSi,"June 28, 2010",Ubisoft Quebec
Voodoo Dice,iOS,"June 28, 2010",ExKee
Voodoo Dice,Microsoft Windows,"July 15, 2010",ExKee
Petz Hamsterz Family,Nintendo DSi,"July 26, 2010",Ubisoft Nagoya
Galaxy Racers,Nintendo DS,July 2010,Kunst-Stoff
Petz: Dogz Family,Nintendo DSi,"August 2, 2010",Ubisoft Nagoya
Scott Pilgrim vs. the World: The Game,PlayStation 3,"August 10, 2010","Ubisoft Chengdu, Ubisoft Montreal"
Gold's Gym Dance Workout,Wii,"August 17, 2010",Land Ho!
Scott Pilgrim vs. the World: The Game,Xbox Live Arcade,"August 25, 2010","Ubisoft Chengdu, Ubisoft Montreal"
Tom Clancy's H.A.W.X 2,Xbox 360,"September 3, 2010",Ubisoft Bucharest
R.U.S.E.,Microsoft Windows,"September 9, 2010","Eugen Systems, Massive Entertainment"
R.U.S.E.,PlayStation 3,"September 9, 2010","Eugen Systems, Massive Entertainment"
R.U.S.E.,Xbox 360,"September 9, 2010","Eugen Systems, Massive Entertainment"
Tom Clancy's H.A.W.X 2,PlayStation 3,"September 10, 2010",Ubisoft Bucharest
Arthur and the Revenge of Maltazard,Microsoft Windows,"September 24, 2010",Phoenix Studio
Arthur and the Revenge of Maltazard,PlayStation 3,"September 24, 2010",Phoenix Studio
Arthur and the Revenge of Maltazard,Wii,"September 24, 2010",Phoenix Studio
Shaun White Skateboarding,Microsoft Windows,"October 1, 2010",Ubisoft Montreal
The Hollywood Squares,Wii,"October 5, 2010",Ludia
Just Dance 2,Wii,"October 12, 2010",Ubisoft Paris
Puzzler World 2011,Nintendo DS,"October 15, 2010",Team 3 Games
The Settlers Online,Browser,"October 22, 2010",Blue Byte
Shaun White Skateboarding,PlayStation 3,"October 24, 2010",Ubisoft Montreal
Shaun White Skateboarding,Wii,"October 24, 2010",Ubisoft Montreal
Shaun White Skateboarding,Xbox 360,"October 24, 2010",Ubisoft Montreal
CSI: Fatal Conspiracy,Microsoft Windows,"October 28, 2010",Telltale Games
CSI: Fatal Conspiracy,PlayStation 3,"October 28, 2010",Telltale Games
CSI: Fatal Conspiracy,Wii,"October 28, 2010",Telltale Games
CSI: Fatal Conspiracy,Xbox 360,"October 28, 2010",Telltale Games
Bloody Good Time,Microsoft Windows,"October 29, 2010","Outerlight, Haiku Interactive, Ubisoft Pune"
Bloody Good Time,Xbox Live Arcade,"October 29, 2010","Outerlight, Haiku Interactive, Ubisoft Pune"
Fighters Uncaged,Kinect,"November 4, 2010",Ama Studios
Just Dance Kids,Wii,"November 9, 2010",Ubisoft Paris
Family Feud: Decades,Wii,"November 10, 2010",Ludia
MotionSports,Kinect,"November 10, 2010",Ubisoft Milan
My Chinese Coach,iOS,"November 11, 2010","Sensory Sweep Studios, Ubisoft Chengdu"
Tom Clancy's H.A.W.X 2,Microsoft Windows,"November 12, 2010",Ubisoft Bucharest
Tom Clancy's H.A.W.X 2,Wii,"November 12, 2010",Ubisoft Bucharest
Assassin's Creed: Brotherhood,PlayStation 3,"November 16, 2010","Ubisoft Montreal, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Quebec, Ubisoft Shanghai"
Assassin's Creed: Brotherhood,Xbox 360,"November 16, 2010","Ubisoft Montreal, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Quebec, Ubisoft Shanghai"
Tom Clancy's Ghost Recon,Wii,"November 16, 2010",Next Level Games
Tom Clancy's Ghost Recon Predator,PlayStation Portable,"November 16, 2010",Virtuos
Raving Rabbids: Travel in Time,Wii,"November 21, 2010",Ubisoft Paris
CSI: Unsolved!,Nintendo DS,"November 23, 2010",Other Ocean Interactive
Michael Jackson: The Experience,PlayStation Portable,"November 23, 2010",Ubisoft São Paulo
Sports Collection: 15 Sports to Master,Nintendo DS,"December 2, 2010",Ubisoft Pune
The Hollywood Squares,iOS,"December 13, 2010",Ludia
Prince of Persia: The Sands of Time HD,PlayStation Network,"December 15, 2010",Ubisoft Bucharest
Prince of Persia: The Two Thrones HD,PlayStation Network,"December 15, 2010",Ubisoft Bucharest
Prince of Persia: Warrior Within HD,PlayStation Network,"December 15, 2010",Ubisoft Montreal
Petz: Catz Family,Nintendo DSi,"January 10, 2011",Phoenix Studio
Zeit²,Microsoft Windows,"January 12, 2011",Brightside Games
Zeit²,Xbox Live Arcade,"January 12, 2011",Brightside Games
We Dare,PlayStation 3,"February 11, 2011",Ubisoft Milan
We Dare,Wii,"February 11, 2011",Ubisoft Milan
Beyond Good & Evil HD,Xbox Live Arcade,"March 2, 2011",Ubisoft Shanghai
"The $1,000,000 Pyramid",Wii,"March 8, 2011",Ludia
Fit in Six,PlayStation 3,"February 11, 2011",Blue Byte
Fit in Six,Wii,"February 11, 2011",Blue Byte
Assassin's Creed: Brotherhood,Microsoft Windows,"March 22, 2011","Ubisoft Bucharest, Ubisoft Montreal"
Rayman 3D,Nintendo 3DS,"March 22, 2011",Ubisoft Casablanca
Family Feud: Decades,Microsoft Windows,"March 25, 2011",Ludia
Asphalt 6: Adrenaline,Nintendo 3DS,"March 27, 2011",Gameloft Montreal
Combat of Giants: Dinosaurs 3D,Nintendo 3DS,"March 27, 2011",Ubisoft Quebec
Tom Clancy's Ghost Recon: Shadow Wars,Nintendo 3DS,"March 27, 2011",Ubisoft Sofia
IL-2 Sturmovik: Cliffs of Dover,Microsoft Windows,"March 30, 2011",1C:Maddox Games
Rabbids: Travel in Time 3D,Nintendo 3DS,"April 10, 2011",Ubisoft Casablanca
Tom Clancy's Splinter Cell 3D,Nintendo 3DS,"April 10, 2011",Gameloft
Might & Magic: Clash of Heroes,PlayStation 3,"April 12, 2011",Capybara Games
Might & Magic: Clash of Heroes,Xbox Live Arcade,"April 12, 2011",Capybara Games
"The $1,000,000 Pyramid",iOS,"April 20, 2011",Ludia
Child of Eden,Kinect,"June 14, 2011","Q Entertainment, MatchLock Corporation"
Cubic Ninja,Nintendo 3DS,"June 14, 2011",AQ Interactive
Outland,PlayStation Network,"June 14, 2011",Housemarque
Outland,Xbox Live Arcade,"June 14, 2011",Housemarque
Petz Fantasy 3D,Nintendo 3DS,"June 21, 2011",Ubisoft Casablanca
Beyond Good & Evil HD,PlayStation Network,"June 28, 2011",Ubisoft Shanghai
Call of Juarez: The Cartel,PlayStation 3,"July 19, 2011",Techland
Call of Juarez: The Cartel,Xbox 360,"July 19, 2011",Techland
The Smurfs,Nintendo DS,"July 19, 2011",Ubisoft Osaka
The Smurfs Dance Party,Wii,"July 19, 2011",Land Ho!
From Dust,Xbox Live Arcade,"July 27, 2011","Ubisoft Montpellier, Ubisoft Bucharest"
The Smurfs & Co,Facebook,"July 29, 2011",Ubisoft Chengdu
Tom Clancy's Splinter Cell Classic Trilogy HD,PlayStation 3,"August 2, 2011",Ubisoft Pune
From Dust,Microsoft Windows,"August 17, 2011",Ubisoft Kyiv
Driver: Renegade,Nintendo 3DS,"August 30, 2011",VD-dev
Driver: San Francisco,PlayStation 3,"September 6, 2011","Ubisoft Reflections, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Montreal, Ubisoft Vancouver"
Driver: San Francisco,Xbox 360,"September 6, 2011","Ubisoft Reflections, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Montreal, Ubisoft Vancouver"
Call of Juarez: The Cartel,Microsoft Windows,"September 13, 2011",Techland
From Dust,PlayStation 3,"September 13, 2011","Ubisoft Montpellier, Ubisoft Bucharest"
Puzzler Mind Gym 3D,Nintendo 3DS,"September 13, 2011",Ideas Pad
TrackMania 2: Canyon,Microsoft Windows,"September 14, 2011",Nadeo
Might & Magic: Clash of Heroes,Microsoft Windows,"September 22, 2011","Capybara Games, DrinkBox Studios"
Child of Eden,PlayStation 3,"September 27, 2011","Q Entertainment, MatchLock Corporation"
Driver: San Francisco,Microsoft Windows,"September 27, 2011",Ubisoft Kyiv
Just Dance 3,Wii,"October 7, 2011",Ubisoft Paris
Just Dance 3,Kinect,"October 7, 2011",Ubisoft Montreal
Battle of Giants: Dinosaurs Strike,Wii,"October 9, 2011",Ubisoft Quebec
Might & Magic Heroes VI,Microsoft Windows,"October 13, 2011","Black Hole Entertainment, Limbic Entertainment"
Family Feud: 2012 Edition,Wii,"October 18, 2011",Ludia
Family Feud: 2012 Edition,Xbox 360,"October 18, 2011",Ludia
PowerUp Heroes,Kinect,"October 18, 2011",Longtail Studios
The Price is Right: Decades,Wii,"October 18, 2011",Ludia
The Adventures of Tintin: The Secret of the Unicorn,Microsoft Windows,"October 21, 2011","Ubisoft Montpellier, Ubisoft Bucharest"
The Adventures of Tintin: The Secret of the Unicorn,Nintendo 3DS,"October 21, 2011",Ubisoft Barcelona
The Adventures of Tintin: The Secret of the Unicorn,PlayStation 3,"October 21, 2011","Ubisoft Montpellier, Ubisoft Bucharest"
