Title,Date,Platforms,Developers
Cyberpunk 2077,"2020, 12, 10","Microsoft Windows, PlayStation 4, Stadia, Xbox One, PlayStation 5, Xbox Series X/S",CDPR
Gwent: The Witcher Card Game,"2018, 10, 25","Microsoft Windows, PlayStation 4, Xbox One, iOS, Android",CDPR
The Witcher 3: Wild Hunt,"2015, 5, 18","Microsoft Windows, PlayStation 4, Xbox One, Nintendo Switch, PlayStation 5, Xbox Series X/S",CDPR
Thronebreaker: The Witcher Tales,"2018, 10, 23","Microsoft Windows, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android",CDPR
The Witcher 2: Assassins of Kings,"2011, 5, 17","Linux, macOS, Microsoft Windows, Xbox 360",CDPR
