,Publisher,Ticker,Title,Date,Platforms,Developers
39,Ubisoft,UBSFY,Just Dance 2019,"2018, 10, 23","Nintendo Switch, PlayStation 4, Wii, Wii U, Xbox 360, Xbox One","Ubisoft Paris, Ubisoft Pune, Ubisoft Shanghai"
40,Ubisoft,UBSFY,Just Dance 2020,"2019, 11, 19","Stadia, Nintendo Switch, PlayStation 4, Wii, Xbox One","Ubisoft Paris, Ubisoft Bordeaux, Ubisoft Pune, Ubisoft Shanghai"
41,Ubisoft,UBSFY,Just Dance 2021,"2020, 11, 12","Nintendo Switch, PlayStation 4, PlayStation 5, Stadia, Xbox One, Xbox Series S, Xbox Series X",Ubisoft Paris
42,Ubisoft,UBSFY,Just Dance: Disney Party 2,"2015, 10, 20","Wii, Wii U, Xbox 360, Xbox One",Now Production
43,Ubisoft,UBSFY,Just Sing,"2016, 9, 8","PlayStation 4, Xbox One",Inis Corporation
58,Ubisoft,UBSFY,South Park: The Fractured But Whole,"2018, 4, 24","Nintendo Switch, Microsoft Windows, PlayStation 4, Xbox One","Ubisoft San Francisco, South Park Digital Studios, Massive Entertainment, Ubisoft Blue Byte, Ubisoft Osaka, Ubisoft Pune, Ubisoft Reflections"
59,Ubisoft,UBSFY,South Park: The Stick of Truth,"2018, 9, 25","Nintendo Switch, PlayStation 4, Xbox One, Microsoft Windows, PlayStation 3, Xbox 360","Obsidian Entertainment, South Park Digital Studios, Heavy Iron Studios, Magic Pixel Studios"
70,Ubisoft,UBSFY,Tom Clancy's EndWar Online,"2015, 12, 3",Microsoft Windows,Ubisoft Shanghai
71,Ubisoft,UBSFY,Tom Clancy's Ghost Recon Breakpoint,"2019, 12, 18","Stadia, Microsoft Windows, PlayStation 4, Xbox One","Ubisoft Paris, Ubisoft Belgrad, Ubisoft Bordeaux, Ubisoft Bucharest, Ubisoft Kyiv, Ubisoft Milan, Ubisoft Montpellier, Ubisoft Odesa"
72,Ubisoft,UBSFY,Tom Clancy's Ghost Recon Wildlands,"2017, 3, 7","Microsoft Windows, PlayStation 4, Xbox One","Ubisoft Paris, Ubisoft Milan, Ubisoft Annecy, Ubisoft Belgrade, Ubisoft Bucharest, Ubisoft Montpellier, Ubisoft Reflections"
73,Ubisoft,UBSFY,Tom Clancy's Rainbow Six Siege,"2015, 12, 1","Microsoft Windows, PlayStation 4, Xbox One, PlayStation 5, Xbox Series S, Xbox Series X","Ubisoft Montreal, Ubisoft Barcelona, Ubisoft Kyiv, Ubisoft Toronto"
74,Ubisoft,UBSFY,Tom Clancy's The Division,"2016, 3, 8","Microsoft Windows, PlayStation 4, Xbox One","Massive Entertainment, Red Storm Entertainment, Ubisoft Annecy, Ubisoft Leamington, Ubisoft Reflections"
75,Ubisoft,UBSFY,Tom Clancy's The Division 2,"2019, 3, 15","Microsoft Windows, PlayStation 4, Xbox One, Stadia","Massive Entertainment, Red Storm Entertainment, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Leamington, Ubisoft Reflections, Ubisoft Shanghai, Ubisoft Sofia"
77,Ubisoft,UBSFY,TrackMania,"2020, 7, 1",Microsoft Windows,Nadeo
78,Ubisoft,UBSFY,TrackMania 2: Lagoon,"2017, 5, 23",Microsoft Windows,Nadeo
86,Ubisoft,UBSFY,Watch Dogs 2,"2016, 11, 15","Microsoft Windows, PlayStation 4, Xbox One","Ubisoft Montreal, Ubisoft Bucharest, Ubisoft Kyiv, Ubisoft Paris, Ubisoft Reflections, Ubisoft Toronto"
87,Ubisoft,UBSFY,Watch Dogs: Legion,"2020, 10, 29","Microsoft Windows, PlayStation 4, Stadia, Xbox One, Xbox Series S, Xbox Series X, PlayStation 5, Amazon Luna",Ubisoft Toronto
0,CD Projekt,OTGLF,Cyberpunk 2077,"2020, 12, 10","Microsoft Windows, PlayStation 4, Stadia, Xbox One, PlayStation 5, Xbox Series X/S",CDPR
1,CD Projekt,OTGLF,Gwent: The Witcher Card Game,"2018, 10, 25","Microsoft Windows, PlayStation 4, Xbox One, iOS, Android",CDPR
2,CD Projekt,OTGLF,The Witcher 3: Wild Hunt,"2015, 5, 18","Microsoft Windows, PlayStation 4, Xbox One, Nintendo Switch, PlayStation 5, Xbox Series X/S",CDPR
3,CD Projekt,OTGLF,Thronebreaker: The Witcher Tales,"2018, 10, 23","Microsoft Windows, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android",CDPR
3,2K Games,TTWO,BioShock,"2016, 12, 13","Xbox One Backwards Compatible, iOS",2K Boston / 2K Australia
